"","webid","name","hlyRange","dlyRange","mlyRange"
"803",607,"LIKELY","N/A","1974-09-01/1993-12-31","1974-01-01/1993-12-01"
"804",27388,"LILLOOET","1997-11-20/2012-05-16","1997-11-24/2012-05-16","1997-12-01/2005-09-01"
"805",955,"LILLOOET","N/A","1878-01-01/1970-02-28","1878-01-01/1970-12-01"
"806",954,"LILLOOET A","N/A","1984-12-01/1986-03-31","1984-01-01/1986-12-01"
"807",956,"LILLOOET CEDAR FALLS","N/A","1962-05-01/1989-07-31","1962-01-01/1989-12-01"
"808",957,"LILLOOET FOUNTAINVIEW","N/A","1987-10-01/1994-02-28","1987-01-01/1994-12-01"
"809",958,"LILLOOET HEIGHTS","N/A","1961-07-01/1965-06-30","1961-01-01/1965-12-01"
"810",959,"LILLOOET RUSSELL ST","N/A","1959-11-01/1983-06-30","1959-01-01/1983-12-01"
"811",960,"LILLOOET SETON BCHPA","N/A","1971-10-01/2001-04-30","1971-01-01/2001-04-01"
"812",1500,"LINDEMAN CITY","N/A","1968-07-01/1981-09-30","1969-01-01/1981-12-01"
"813",803,"LIONS BAY","N/A","1983-07-01/2004-10-31","1983-01-01/2004-10-01"
"814",673,"LIONS BAY 2","N/A","1988-08-01/1989-12-31","1988-01-01/1989-12-01"
"815",1130,"LISTER","N/A","1956-04-01/2011-11-30","1956-01-01/2007-02-01"
"816",1293,"LITTLE FORT","N/A","1973-06-01/1984-03-31","1973-01-01/1984-12-01"
"817",1292,"LITTLE FORT 2","N/A","1986-08-01/1990-07-31","1986-01-01/1990-12-01"
"818",180,"LITTLE QUALICUM","N/A","1908-12-01/1921-01-31","1908-01-01/1921-12-01"
"819",181,"LITTLE QUALICUM HATCHERY","N/A","1981-01-01/2011-11-30","1981-01-01/2007-02-01"
"820",182,"LITTLE QUALICUM R ESTY","N/A","1974-04-01/1974-12-31","1974-01-01/1974-12-01"
"821",183,"LITTLE QUALICUM RIVER GANSKE ROAD","N/A","1987-12-01/1992-06-30","1987-01-01/1992-12-01"
"822",1014,"LOGAN LAKE","N/A","1971-10-01/2005-10-31","1971-01-01/2005-10-01"
"823",316,"LOIS LAKE","N/A","1954-01-01/1956-03-31","1954-01-01/1956-12-01"
"824",317,"LOIS RIVER DAM","N/A","1931-04-01/2007-07-31","1931-01-01/2007-02-01"
"825",1294,"LONE BUTTE","N/A","1966-10-01/1967-02-28","1966-01-01/1967-12-01"
"826",1286,"LONE BUTTE 2","N/A","1981-05-01/1991-04-30","1981-01-01/1991-11-01"
"827",1285,"LONE BUTTE 3","N/A","1983-06-01/1984-09-30","1983-01-01/1984-12-01"
"828",1422,"LONE PRAIRIE","N/A","1980-10-01/1985-10-31","1980-01-01/1985-12-01"
"829",1421,"LONE PRAIRIE SOUTH","N/A","1981-06-01/1981-12-31","1981-01-01/1981-12-01"
"830",1295,"LOON LAKE","N/A","1968-05-01/1989-12-31","1968-01-01/1989-12-01"
"831",608,"LORSTA WILLIAMS LAKE","N/A","1977-07-01/1984-07-31","1977-01-01/1984-12-01"
"832",6946,"LOST LAKE","N/A","1991-06-01/1991-09-30","1991-01-01/1991-12-01"
"833",1296,"LOUIS CRK MEL-BAR RANCH","N/A","1969-10-01/1974-07-31","1969-01-01/1974-12-01"
"834",1449,"LOWER LIARD BRIDGE","N/A","1976-06-01/1998-03-31","1976-01-01/1998-03-01"
"835",1461,"LOWER POST","N/A","1960-10-01/1976-07-31","1960-01-01/1976-12-01"
"836",258,"LOWRY LAKE","N/A","1957-07-01/1958-10-31","1958-01-01/1958-12-01"
"837",6824,"LUCY ISLAND LIGHTSTATION","1994-02-04/2012-05-16","1991-01-01/2012-05-16","1991-02-01/2000-09-01"
"838",1297,"LUMBY","N/A","1959-03-01/2010-03-31","1959-01-01/2007-02-01"
"839",1298,"LUMBY SIGALET RD","N/A","1970-11-01/1999-02-28","1970-01-01/1999-02-01"
"840",523,"LUNCH LAKE","N/A","1980-10-01/2009-12-31","1980-01-01/2007-02-01"
"841",318,"LUND","N/A","1960-02-01/1975-04-30","1960-01-01/1975-12-01"
"842",1090,"LYNCH CREEK","N/A","1924-01-01/1948-11-30","1924-01-01/1948-12-01"
"843",963,"LYTTON","1970-02-01/1991-08-30","1970-01-01/1991-08-31","1970-01-01/1991-12-01"
"844",962,"LYTTON","1953-01-01/1970-01-31","1944-08-01/1969-12-31","1944-01-01/1970-12-01"
"845",961,"LYTTON","1994-02-01/2012-05-16","1990-03-01/2012-05-16","1990-01-01/2007-02-01"
"846",966,"LYTTON 2","N/A","1917-01-01/2012-03-29","1917-01-01/2007-02-01"
"847",964,"LYTTON BOTANIE VALLEY","N/A","1989-10-01/2006-03-31","1989-01-01/2006-03-01"
"848",44927,"LYTTON RCS","2006-05-23/2012-05-16","2006-05-01/2012-05-16","2006-05-01/2006-12-01"
"849",965,"LYTTON STEIN MOUNTAIN","N/A","1988-02-01/1995-06-30","1988-01-01/1995-06-01"
"850",1299,"MABEL LAKE","N/A","1924-07-01/1975-10-31","1924-01-01/1975-12-01"
"851",609,"MACKAY RIVER","N/A","1971-10-01/1975-10-31","N/A"
"852",48870,"MACKENZIE","2010-07-26/2012-05-17","2010-07-29/2012-05-16","N/A"
"853",1423,"MACKENZIE A","1971-02-08/2012-05-14","1971-02-01/2012-05-16","1971-01-01/2007-02-01"
"854",1424,"MACKENZIE BCFS","N/A","1969-07-01/1971-01-31","1969-01-01/1971-12-01"
"855",1425,"MACKENZIE TOWNSITE","N/A","1966-12-01/2004-04-30","1967-01-01/2004-04-01"
"856",477,"MACLURE LAKE","N/A","1924-01-01/1963-09-30","1924-01-01/1963-12-01"
"857",65,"MALAHAT","1994-02-01/2012-05-16","1920-01-01/2012-05-16","1920-01-01/2005-04-01"
"858",10730,"MALAHAT","1991-11-29/1992-12-31","N/A","N/A"
"859",1300,"MALAKWA EAGLE R HATCHERY","N/A","1924-01-01/1994-08-31","1924-01-01/1994-12-01"
"860",319,"MALIBU JERVIS INLET","N/A","1974-08-01/2012-04-18","1974-01-01/2007-02-01"
"861",1015,"MAMIT LAKE","N/A","1924-01-01/1965-03-31","1924-01-01/1965-12-01"
"862",1016,"MANNING PARK","N/A","1952-12-01/1961-04-30","1952-01-01/1961-12-01"
"863",610,"MAPES","N/A","1970-06-01/1970-09-30","1970-01-01/1970-12-01"
"864",804,"MAPLE RIDGE","N/A","1973-01-01/1991-09-30","1973-01-01/1991-11-01"
"865",787,"MAPLE RIDGE KANAKA CREEK","N/A","1986-12-01/2012-04-07","1986-01-01/2007-02-01"
"866",674,"MAPLE RIDGE STP","N/A","1974-04-01/1974-06-30","1974-01-01/1974-12-01"
"867",693,"MAPLE RIDGE WHONNOCK LAKE","N/A","1987-07-01/1988-04-30","1987-01-01/1988-12-01"
"868",1301,"MARA LAKE","N/A","1965-06-01/1969-03-31","1965-01-01/1969-12-01"
"869",1200,"MARYSVILLE","N/A","1972-08-01/2008-01-31","1972-01-01/2007-02-01"
"870",361,"MASSET A","N/A","1944-10-01/2012-05-16","1944-01-01/1949-12-01"
"871",360,"MASSET AIRPORT","2005-10-27/2012-05-16","1897-06-01/2008-06-30","1897-01-01/2007-02-01"
"872",359,"MASSET CFS","N/A","1971-11-01/1981-02-28","1971-01-01/1981-12-01"
"873",362,"MASSET INDIAN DAY SCHOOL","N/A","1965-09-01/1966-05-31","1965-01-01/1966-12-01"
"874",357,"MASSET TOW HILL","N/A","1981-09-01/1986-05-31","1981-01-01/1986-12-01"
"875",805,"MATSQUI","N/A","1987-07-01/1988-04-30","1987-01-01/1988-12-01"
"876",806,"MATSQUI ROSS ROAD","N/A","1987-04-01/1991-08-31","1987-01-01/1991-12-01"
"877",66,"MAYNE ISLAND","N/A","1921-01-01/1942-11-30","1921-01-01/1942-12-01"
"878",67,"MAYNE ISLAND","N/A","1970-04-01/2002-12-31","1970-01-01/2002-12-01"
"879",612,"MCBRIDE 4SE","N/A","1922-05-01/1995-02-28","1922-01-01/1995-02-01"
"880",611,"MCBRIDE ELDER CREEK","N/A","1985-09-01/2009-02-28","1985-01-01/2007-02-01"
"881",613,"MCBRIDE NORTH","N/A","1973-06-01/1992-09-30","1973-01-01/1992-12-01"
"882",1501,"MCBRIDE RIVER","N/A","1975-04-01/1978-04-30","1975-01-01/1978-12-01"
"883",614,"MCBRIDE S & W RANCH","N/A","1980-08-01/1985-09-30","1980-01-01/1985-12-01"
"884",1017,"MCCULLOCH","N/A","1923-11-01/1996-02-29","1923-01-01/1996-02-01"
"885",967,"MCGILLIVARY FALLS","N/A","1988-08-01/1988-08-31","1988-01-01/1988-12-01"
"886",615,"MCGREGOR","N/A","1965-12-01/1975-08-31","1966-01-01/1975-12-01"
"887",409,"MCINNES ISLAND","1955-01-01/2001-12-13","1954-02-01/2012-05-16","1954-01-01/2007-02-01"
"888",616,"MCLEESE LAKE FRASERVIEW","N/A","1980-08-01/2011-10-31","1980-01-01/2007-02-01"
"889",617,"MCLEESE LAKE GRANITE MT","N/A","1972-03-01/2012-05-16","1972-01-01/2007-02-01"
"890",1426,"MCLEOD LAKE","N/A","1963-08-01/1971-03-31","1963-01-01/1971-12-01"
"891",1302,"MCLURE","N/A","1967-04-01/2009-11-29","1967-01-01/2007-02-01"
"892",1019,"MEADOWGREEN","N/A","1980-06-01/1986-11-30","1980-01-01/1986-12-01"
"893",524,"MEAGER CREEK","N/A","1981-08-01/1982-08-31","1981-01-01/1982-12-01"
"894",1020,"MERRITT","N/A","1918-11-01/1966-12-31","1918-01-01/1966-12-01"
"895",1021,"MERRITT CRAIGMONT MINES","N/A","1962-02-01/1976-04-30","1962-01-01/1976-12-01"
"896",1022,"MERRITT STP","N/A","1968-08-01/2012-05-15","1968-01-01/2007-02-01"
"897",27288,"MERRY ISLAND","1997-06-18/1998-06-05","1998-05-02/1998-05-02","N/A"
"898",320,"MERRY ISLAND LIGHTSTATION","1954-01-01/2001-12-13","1957-11-01/2012-05-12","1957-01-01/2007-02-01"
"899",26917,"MESILINKA CAMP","N/A","1995-06-01/1996-03-31","1995-06-01/1995-11-01"
"900",68,"METCHOSIN","N/A","1911-11-01/2012-05-13","1915-01-01/2007-02-01"
"901",69,"METCHOSIN HAPPY VALLEY","N/A","1970-03-01/1998-09-30","1970-01-01/1998-09-01"
"902",70,"METCHOSIN MOUNTAIN","N/A","1972-04-01/1972-07-31","1972-01-01/1972-12-01"
"903",6809,"METCHOSIN PARRY BAY","N/A","1991-12-01/1995-09-30","1991-01-01/1995-09-01"
"904",1367,"MICA DAM","N/A","1951-06-01/2012-05-16","1951-01-01/2007-02-01"
"905",1091,"MIDWAY","N/A","1987-06-01/2012-05-13","1987-01-01/2007-02-01"
"906",1468,"MIDWAY PROJECT","N/A","1985-11-01/1986-08-31","1985-01-01/1986-12-01"
"907",1467,"MILE 295 ALASKA HWY","N/A","1984-02-01/1991-04-30","1984-01-01/1991-11-01"
"908",1465,"MILE 306 ALASKA HWY","N/A","1984-01-01/1992-03-31","1984-01-01/1992-12-01"
"909",1466,"MILE 318 ALASKA HWY","N/A","1984-02-01/1984-06-30","1984-01-01/1984-12-01"
"910",1463,"MILE 351 ALASKA HWY","N/A","1984-01-01/1984-02-29","1984-01-01/1984-12-01"
"911",1462,"MILE 371 ALASKA HWY","N/A","1983-12-01/1984-01-31","1984-01-01/1984-12-01"
"912",410,"MILL BAY","N/A","1915-01-01/1959-03-31","1915-01-01/1959-12-01"
"913",72,"MILL BAY 1 SOUTHWEST","N/A","1989-02-01/2006-05-31","1989-01-01/2006-05-01"
"914",71,"MILL BAY KILMALU","N/A","1972-10-01/1983-07-31","1972-01-01/1983-12-01"
"915",73,"MILLSTREAM","N/A","1926-09-01/1941-05-31","1926-01-01/1941-12-01"
"916",808,"MILNER AIC","N/A","1967-03-01/1979-01-31","1967-01-01/1979-12-01"
"917",74,"MILNES LANDING","N/A","1910-01-01/1956-02-29","1910-01-01/1956-12-01"
"918",1469,"MINAKER RIVER","N/A","1984-09-01/1993-12-31","1984-01-01/1993-11-01"
"919",411,"MINSTREL ISLAND","N/A","1974-09-01/1985-08-31","1974-01-01/1985-12-01"
"920",809,"MISSION","N/A","1953-04-01/1992-04-30","1953-01-01/1992-12-01"
"921",675,"MISSION HARTLEY RD","N/A","1979-04-01/1984-01-31","1979-01-01/1984-12-01"
"922",810,"MISSION WEST ABBEY","N/A","1962-10-01/2012-05-16","1962-01-01/2007-02-01"
"923",618,"MOFFAT CREEK","N/A","1975-07-01/1986-08-31","1975-01-01/1986-12-01"
"924",968,"MOHA","N/A","1924-01-01/1947-09-30","1924-01-01/1947-12-01"
"925",1222,"MONTE CREEK","N/A","1986-07-01/2007-03-30","1986-01-01/2007-02-01"
"926",1221,"MONTE CREEK WEST","N/A","1986-07-01/1996-11-30","1986-01-01/1996-11-01"
"927",1303,"MONTE LAKE","N/A","1961-09-01/1968-09-30","1961-01-01/1968-12-01"
"928",1304,"MONTE LAKE 2","N/A","1961-09-01/1962-12-31","1961-01-01/1962-12-01"
"929",1223,"MONTE LAKE PAXTON VALLEY","N/A","1972-04-01/1990-12-31","1972-01-01/1990-12-01"
"930",6820,"MORESBY ISLAND MITCHELL INLET","N/A","1991-04-01/2007-12-31","1991-01-01/2007-02-01"
"931",1427,"MORFEE LAKES MILL SITE","N/A","1965-11-01/1966-11-30","1965-01-01/1966-12-01"
"932",478,"MORICE RIVER FDR","N/A","1961-09-01/1962-09-30","1961-01-01/1962-12-01"
"933",479,"MORICE RIVER HOUSTON","N/A","1955-04-01/1958-05-31","1955-01-01/1958-12-01"
"934",480,"MORICETOWN","N/A","1964-09-01/1965-11-30","1964-01-01/1965-12-01"
"935",525,"MOSLEY CREEK SAND CREEK","N/A","1980-10-01/1995-10-31","1980-01-01/1995-10-01"
"936",1305,"MOUL CREEK CLEARWATER","N/A","1963-11-01/1967-05-31","1963-01-01/1967-12-01"
"937",619,"MOUNT ROBSON RANCH","N/A","1975-05-01/1992-08-31","1975-01-01/1992-12-01"
"938",811,"MOUNT SEYMOUR","N/A","1958-06-01/1968-07-31","1958-01-01/1968-12-01"
"939",1201,"MOYIE","N/A","1972-06-01/1978-03-31","1972-01-01/1978-12-01"
"940",1023,"MT BALDY","N/A","1981-02-01/1981-03-31","1981-01-01/1981-12-01"
"941",1024,"MT KOBAU OBSERVATORY","N/A","1966-06-01/1980-08-31","1966-01-01/1980-12-01"
"942",1306,"MT LOLO ADMIN KAMLOOPS","N/A","1977-05-01/1988-06-30","1977-01-01/1988-12-01"
"943",1307,"MT LOLO KAMLOOPS","N/A","1964-02-01/1977-03-31","1964-01-01/1977-12-01"
"944",46567,"MT WASHINGTON","2007-10-31/2010-09-29","2007-11-01/2010-09-29","N/A"
"945",185,"MT WASHINGTON RESORT","N/A","1979-12-01/1999-12-31","1980-01-01/1999-12-01"
"946",186,"MT WASHINGTON UPPER","N/A","1990-02-01/1999-12-31","1990-01-01/1999-12-01"
"947",187,"MUD BAY","N/A","1971-04-01/2011-11-29","1971-01-01/2007-02-01"
"948",75,"MUIR CREEK 1W","N/A","1970-03-01/1986-10-31","1970-01-01/1986-12-01"
"949",1502,"MULE CREEK","N/A","1970-09-01/1986-10-31","1970-01-01/1986-12-01"
"950",1470,"MUNCHO LAKE","1994-02-01/2012-05-16","1970-05-01/2011-07-31","1970-01-01/2007-02-01"
"951",481,"MURDER CREEK","N/A","1973-09-01/1994-11-30","1973-01-01/1994-12-01"
"952",27648,"MURDER CREEK 2","N/A","1998-07-01/2004-07-31","1998-07-01/2004-07-01"
"953",188,"MYRA CREEK","N/A","1979-06-01/2012-05-16","1979-01-01/2007-02-01"
"954",698,"N VAN SEYMOUR HATCHERY","N/A","1981-11-01/2012-04-29","1981-01-01/2007-02-01"
"955",681,"N VANC GRAND BLVD","N/A","1969-12-01/1997-03-31","1970-01-01/1997-03-01"
"956",823,"N VANC GROUSE MTN RESORT","N/A","1971-10-01/2012-05-14","1971-01-01/2007-02-01"
"957",696,"N VANC SONORA DR","N/A","1976-01-01/2011-02-22","1976-01-01/2007-02-01"
"958",830,"N VANCOUVER 2ND NARROWS","N/A","1957-11-01/2008-11-30","1957-01-01/2007-02-01"
"959",819,"N VANCOUVER CANYON HTS","N/A","1956-11-01/1957-06-30","1956-01-01/1957-12-01"
"960",820,"N VANCOUVER CAPILANO","N/A","1955-07-01/1990-09-30","1955-01-01/1990-12-01"
"961",679,"N VANCOUVER CAPILANO HIGHLANDS","N/A","1989-04-01/1991-09-30","1989-01-01/1991-11-01"
"962",680,"N VANCOUVER CLEVELAND","N/A","1968-04-01/2003-09-30","1968-01-01/2003-09-01"
"963",676,"N VANCOUVER CLOVERLEY","N/A","1968-07-01/1984-04-30","1968-01-01/1984-12-01"
"964",807,"N VANCOUVER DOLLARTON 2","N/A","1990-05-01/1993-02-28","1990-01-01/1993-12-01"
"965",822,"N VANCOUVER GLENAIRE","N/A","1964-12-01/1966-06-30","1965-01-01/1966-12-01"
"966",825,"N VANCOUVER LYNN CREEK","N/A","1964-06-01/1983-12-31","1964-01-01/1983-12-01"
"967",826,"N VANCOUVER LYNN VALLEY","N/A","1960-02-01/1964-12-31","1960-01-01/1964-12-01"
"968",827,"N VANCOUVER MOSQUITO CR","N/A","1954-04-01/1960-12-31","1954-01-01/1960-12-01"
"969",829,"N VANCOUVER N LONSDALE","N/A","1960-01-01/2004-11-30","1960-01-01/2004-11-01"
"970",697,"N VANCOUVER REDONDA DR","N/A","1973-11-01/1995-05-31","1973-01-01/1995-05-01"
"971",678,"N VANCOUVER SEYMOUR BLVD","N/A","1968-01-01/1982-03-31","1968-01-01/1982-12-01"
"972",832,"N VANCOUVER UPPER LYNN","N/A","1960-09-01/1980-08-31","1960-01-01/1980-12-01"
"973",831,"N VANCOUVER UPR LONSDALE","N/A","1964-06-01/1965-10-31","1964-01-01/1965-12-01"
"974",27356,"N VANCOUVER W KEITH RD","N/A","1997-08-01/2002-01-31","1997-08-01/2002-01-01"
"975",833,"N VANCOUVER WHARVES","N/A","1962-03-01/2012-05-15","1962-01-01/2007-02-01"
"976",412,"NAAS HARBOUR","N/A","1900-02-01/1929-08-31","1900-01-01/1929-12-01"
"977",527,"NADINA RIVER","N/A","1934-10-01/1962-05-31","1934-01-01/1962-12-01"
"978",528,"NADINA RIVER","N/A","1981-03-01/1988-09-30","1981-01-01/1988-12-01"
"979",526,"NADINA RIVER","N/A","1931-12-01/1932-12-31","1931-01-01/1932-12-01"
"980",1503,"NAKONAKE RIVER","N/A","1956-06-01/1956-08-31","1956-01-01/1956-12-01"
"981",1131,"NAKUSP","N/A","1912-03-01/1995-02-28","1912-01-01/1995-02-01"
"982",6840,"NAKUSP CS","1994-02-01/2012-05-16","1991-01-01/2012-05-16","1991-02-01/2006-11-01"
"983",1132,"NAKUSP GLENBANK","N/A","1985-12-01/1991-11-30","1985-01-01/1991-11-01"
"984",413,"NAMU","N/A","1931-11-01/1985-05-31","1931-01-01/1985-12-01"
"985",191,"NANAIMO","N/A","1892-01-01/1968-05-31","1892-01-01/1968-12-01"
"986",192,"NANAIMO A","1954-01-01/2012-05-16","1947-03-01/2012-05-16","1947-01-01/2007-02-01"
"987",190,"NANAIMO CHUB","N/A","1969-08-01/1977-04-30","1969-01-01/1977-12-01"
"988",189,"NANAIMO CITY YARD","N/A","1981-08-01/2012-04-29","1981-01-01/2007-02-01"
"989",184,"NANAIMO DEPARTURE BAY","N/A","1913-01-01/1992-11-30","1913-01-01/1992-12-01"
"990",26822,"NANAIMO HARBOUR","1994-05-31/1995-08-14","N/A","N/A"
"991",134,"NANAIMO NORTH","N/A","1989-02-01/1989-06-30","1989-01-01/1989-12-01"
"992",133,"NANAIMO RIVER CAMP","N/A","1962-08-01/1968-12-31","1962-01-01/1968-12-01"
"993",193,"NANAIMO WATER RESERVOIR","N/A","1962-08-01/1967-08-31","1962-01-01/1967-12-01"
"994",9817,"NANAKWA SHOALS","1986-05-23/1986-12-25","N/A","N/A"
"995",529,"NANIKA RIVER HATCHERY","N/A","1961-09-01/1966-06-30","1961-01-01/1966-12-01"
"996",194,"NANOOSE BAY","N/A","1912-05-01/1989-04-30","1912-01-01/1989-12-01"
"997",195,"NANOOSE BAY SOUTH","N/A","1988-09-01/2007-07-31","1988-01-01/2007-02-01"
"998",1025,"NARAMATA","N/A","1924-01-01/1936-12-31","1924-01-01/1936-12-01"
"999",1026,"NARAMATA","N/A","1971-04-01/2004-02-29","1971-01-01/2004-02-01"
"1000",482,"NASS CAMP","N/A","1973-09-01/2011-10-31","1973-01-01/2007-02-01"
"1001",483,"NASS RIVER","N/A","1956-06-01/1956-07-31","1956-01-01/1956-12-01"
"1002",1202,"NATAL","N/A","1965-07-01/1968-07-31","1965-01-01/1968-12-01"
"1003",1203,"NATAL HARMER RIDGE","N/A","1971-07-01/1991-12-31","1971-01-01/1991-12-01"
"1004",1204,"NATAL KAISER RESOURCES","N/A","1969-05-01/1980-03-31","1969-01-01/1980-12-01"
"1005",620,"NAVER CREEK","N/A","1955-05-01/1957-10-31","1955-01-01/1957-12-01"
"1006",621,"NAVER CREEK AHBAU","N/A","1959-11-01/1961-04-30","1959-01-01/1961-12-01"
"1007",530,"NAZKO","N/A","1974-04-01/1977-09-30","1974-01-01/1977-12-01"
"1008",10709,"NECHAKO RIVER (AUT)","1994-02-01/2002-01-15","1995-05-24/2002-01-15","N/A"
"1009",1133,"NEEDLES WHATSHAN BCHPA","N/A","1971-05-01/1972-11-30","1971-01-01/1972-12-01"
"1010",1134,"NEEDLES WHATSHAN PH","N/A","1955-08-01/1969-01-31","1955-01-01/1969-12-01"
"1011",1135,"NELSON","N/A","1904-01-01/1955-10-31","1904-01-01/1955-12-01"
"1012",1140,"NELSON 2","N/A","1955-11-01/1982-12-31","1955-01-01/1982-12-01"
"1013",1139,"NELSON 3","N/A","1989-06-01/1989-11-30","1989-01-01/1989-12-01"
"1014",1136,"NELSON CITY HALL","N/A","1956-07-01/1956-08-31","1956-01-01/1956-12-01"
"1015",6839,"NELSON CS","1994-02-01/2012-05-16","1992-11-01/2012-05-16","1992-01-01/2006-10-01"
"1016",321,"NELSON ISLAND","N/A","1964-12-01/1970-11-30","1965-01-01/1970-12-01"
"1017",1137,"NELSON NE","N/A","1983-01-01/2012-05-13","1983-01-01/2007-02-01"
"1018",1138,"NELSON NOTRE DAME U","N/A","1965-07-01/1966-03-31","1965-01-01/1966-12-01"
"1019",1095,"NELSON RIXEN CREEK","N/A","1990-07-01/2012-05-13","1990-01-01/2007-02-01"
"1020",1141,"NELSON VOCATIONAL SCHOOL","N/A","1972-08-01/1978-01-31","1972-01-01/1978-12-01"
"1021",531,"NEMAIA VALLEY CHILKO LK","N/A","1974-09-01/1979-08-31","1974-01-01/1979-12-01"
"1022",1142,"NEW DENVER","N/A","1924-01-01/2012-05-03","1924-01-01/2007-02-01"
"1023",484,"NEW HAZELTON","N/A","1914-08-01/1976-08-31","1914-01-01/1976-12-01"
"1024",814,"NEW WESTM QUEENS PARK","N/A","1958-05-01/1958-12-31","1958-01-01/1958-12-01"
"1025",812,"NEW WESTMINSTER","N/A","1874-09-01/1966-06-30","1874-01-01/1966-12-01"
"1026",813,"NEW WESTMINSTER BC PEN","N/A","1960-07-01/1980-01-31","1960-01-01/1980-12-01"
"1027",815,"NEW WESTMINSTER WEST","N/A","1960-01-01/1971-09-30","1960-01-01/1971-12-01"
"1028",1205,"NEWGATE","N/A","1914-03-01/1960-07-31","1914-01-01/1960-12-01"
"1029",1027,"NICKLEN LAKE","N/A","1990-07-01/1997-08-31","1990-01-01/1997-08-01"
"1030",1028,"NICOLA LAKE","N/A","1878-01-01/1918-10-31","1878-01-01/1918-12-01"
"1031",1029,"NICOLA LAKE","N/A","1979-06-01/1985-02-28","1979-01-01/1985-12-01"
"1032",1030,"NICOLA LAKE W END","N/A","1984-12-01/1992-10-31","1984-01-01/1992-12-01"
"1033",532,"NIMPO LAKE","N/A","1973-08-01/1973-09-30","1973-01-01/1973-12-01"
"1034",533,"NIMPO LAKE 2","N/A","1980-11-01/1981-02-28","1980-01-01/1981-12-01"
"1035",259,"NITINAT LAKE","N/A","1924-01-01/1952-07-31","1924-01-01/1952-12-01"
"1036",10184,"NITINAT LAKE (AUT)","1994-02-01/2001-12-15","1992-12-01/2001-12-14","N/A"
"1037",260,"NITINAT RIVER HATCHERY","N/A","1981-05-01/2012-04-17","1981-01-01/2007-02-01"
"1038",261,"NOOTKA LIGHTSTATION","1994-02-01/2001-12-13","1978-11-01/2012-05-16","1978-01-01/2007-02-01"
"1039",534,"NORA LEE NORTH","N/A","1977-03-01/1979-09-30","1977-01-01/1979-12-01"
"1040",622,"NORCO COAL","N/A","1977-10-01/1978-04-30","1977-01-01/1978-12-01"
"1041",817,"NORTH BURNABY UNION","N/A","1973-04-01/1980-01-31","1973-01-01/1980-12-01"
"1042",46728,"NORTH COWICHAN","2007-11-27/2012-05-16","2007-11-27/2012-05-16","N/A"
"1043",76,"NORTH COWICHAN","N/A","1981-03-01/2012-05-08","1981-01-01/2007-02-01"
"1044",818,"NORTH NICOMEN","N/A","1897-01-01/1928-11-30","1897-01-01/1928-12-01"
"1045",77,"NORTH PENDER ISLAND","N/A","1972-02-01/2012-05-16","1972-01-01/2007-02-01"
"1046",1428,"NORTH PINE CDA EPF","N/A","1953-03-01/1963-08-31","1953-01-01/1963-12-01"
"1047",677,"NORTH VANC LONSDALE PARK","N/A","1969-12-01/1971-05-31","1969-01-01/1971-12-01"
"1048",694,"NORTH VANCOUVER BLUE RIDGE","N/A","1988-08-01/1989-09-30","1988-01-01/1989-12-01"
"1049",821,"NORTH VANCOUVER CITY","N/A","1960-01-01/1961-12-31","1960-01-01/1961-12-01"
"1050",695,"NORTH VANCOUVER DOLLARTON","N/A","1988-09-01/1991-01-31","1988-01-01/1991-11-01"
"1051",824,"NORTH VANCOUVER HOLYROOD","N/A","1960-02-01/1968-12-31","1960-01-01/1968-12-01"
"1052",828,"NORTH VANCOUVER NORGATE","N/A","1960-01-01/1963-04-30","1960-01-01/1963-12-01"
"1053",414,"OCEAN FALLS","N/A","1924-01-01/1986-11-30","1924-01-01/1986-12-01"
"1054",623,"OCHILTREE MIOCENE","N/A","1963-01-01/2003-09-30","1963-01-01/2003-09-01"
"1055",1036,"OK FALLS MCLEAN CRK","N/A","1982-12-01/1991-05-31","1982-01-01/1991-11-01"
"1056",1032,"OKANAGAN CENTRE","N/A","1925-03-01/2012-05-16","1925-01-01/2007-02-01"
"1057",978,"OKANAGAN CENTRE CAMP RD","N/A","1984-08-01/1988-06-30","1984-01-01/1988-12-01"
"1058",1033,"OKANAGAN FALLS","N/A","1965-06-01/1968-09-30","1965-01-01/1968-12-01"
"1059",1018,"OKANAGAN FALLS 2S","N/A","1970-11-01/1982-05-31","1970-01-01/1982-12-01"
"1060",1034,"OKANAGAN MISSION","N/A","1970-11-01/1985-09-30","1970-01-01/1985-12-01"
"1061",1035,"OKANAGAN MISSION TOZER","N/A","1984-12-01/1992-02-29","1984-01-01/1992-12-01"
"1062",1143,"OLD GLORY MOUNTAIN","1953-01-01/1967-12-31","1944-11-01/1967-12-31","1945-01-01/1967-12-01"
"1063",624,"OLD SUMMIT RD NORTH","N/A","1976-07-01/1977-09-30","1976-01-01/1977-12-01"
"1064",1037,"OLIVER","N/A","1938-06-01/2008-10-21","1955-01-01/2007-02-01"
"1065",6836,"OLIVER 3","N/A","1991-12-01/1995-08-31","1991-01-01/1995-08-01"
"1066",1038,"OLIVER EAST","N/A","1962-08-01/1967-02-28","1962-01-01/1967-12-01"
"1067",1031,"OLIVER MONASHEE VINEYARD","N/A","1978-06-01/1978-09-30","1978-01-01/1978-12-01"
"1068",981,"OLIVER ROCKCLIFF","N/A","1989-08-01/1989-11-30","1989-01-01/1989-12-01"
